code,公司名称：,公司简称：,证券简称更名历史：
600345,武汉长江通信产业集团股份有限公司,武汉长江通信产业集团,G长通 长江通信 长江通信
002124,天邦食品股份有限公司,天邦食品, 天邦股份
000617,中国石油集团资本股份有限公司,中国石油集团资本,S济柴 石油济柴 ST济柴 石油济柴 ST济柴 石油济柴 中油资本 中油资本
300618,南京寒锐钴业股份有限公司,南京寒锐钴业, 寒锐钴业
601009,南京银行股份有限公司,南京银行, 南京银行
300224,烟台正海磁性材料股份有限公司,烟台正海磁性材料, 正海磁材
000949,新乡化纤股份有限公司,新乡化纤,G新纤 新乡化纤 新乡化纤
000961,江苏中南建设集团股份有限公司,江苏中南建设集团,G大牛 大连金牛 中南建设 中南建设
600682,南京新街口百货商店股份有限公司,南京新街口百货商店,S宁新百 南京新百 南京新百
603220,中贝通信集团股份有限公司,中贝通信集团,中贝通信 中贝通信
000002,万科企业股份有限公司,万科企业,万科A 万科B G万科A 万科A 万科Ａ
300759,康龙化成(北京)新药技术股份有限公司,康龙化成(北京)新药技术, 康龙化成
603308,安徽应流机电股份有限公司,安徽应流机电, 应流股份
002891,烟台中宠食品股份有限公司,烟台中宠食品, 中宠股份
300335,广州迪森热能技术股份有限公司,广州迪森热能技术, 迪森股份
300750,宁德时代新能源科技股份有限公司,宁德时代新能源科技, 宁德时代
603008,喜临门家具股份有限公司,喜临门家具, 喜临门
300032,金龙机电股份有限公司,金龙机电, 金龙机电
000551,创元科技股份有限公司,创元科技,创元科技 G创元 创元科技 创元科技
000717,广东韶钢松山股份有限公司,广东韶钢松山,G韶钢 韶钢松山 ST韶钢 韶钢松山 ST韶钢 韶钢松山 韶钢松山
002684,广东猛狮新能源科技股份有限公司,广东猛狮新能源科技,ST猛狮 ST猛狮
600797,浙大网新科技股份有限公司,浙大网新科技,天然科技 浙大网新 G网新 浙大网新 浙大网新
300270,杭州中威电子股份有限公司,杭州中威电子, 中威电子
300002,北京神州泰岳软件股份有限公司,北京神州泰岳软件, 神州泰岳
300803,北京指南针科技发展股份有限公司,北京指南针科技发展, 指南针
603098,森特士兴集团股份有限公司,森特士兴集团, 森特股份
002866,江苏传艺科技股份有限公司,江苏传艺科技, 传艺科技
002500,山西证券股份有限公司,山西证券, 山西证券
600666,奥瑞德光电股份有限公司,奥瑞德光电,西南药业 G西药 西南药业 奥瑞德 ST瑞德 ST瑞德
688321,深圳微芯生物科技股份有限公司,深圳微芯生物科技, 微芯生物
002597,安徽金禾实业股份有限公司,安徽金禾实业, 金禾实业
603489,八方电气(苏州)股份有限公司,八方电气(苏州), 八方股份
600732,上海新梅置业股份有限公司,上海新梅置业,上海新梅 G新梅 上海新梅 ST新梅 ST新梅 ST新梅
002589,瑞康医药集团股份有限公司,瑞康医药集团, 瑞康医药
000878,云南铜业股份有限公司,云南铜业,G云铜 云南铜业 云南铜业
601928,江苏凤凰出版传媒股份有限公司,江苏凤凰出版传媒, 凤凰传媒
603083,上海剑桥科技股份有限公司,上海剑桥科技, 剑桥科技
